discipline,M,rho,T,h,k,seed,num_packets,simulation_EW,theoretical_EW,absolute_error,relative_error
limited,20,0.2,3.0,0.8,1,1,5978,11.224988886066606,11.223214285714288,0.0017746003523182452,0.0001581187266982048
limited,20,0.2,3.0,0.8,1,2,6082,11.284079767253665,11.223214285714288,0.06086548153937699,0.005423177352752761
limited,20,0.2,3.0,0.8,1,3,6072,11.216582294854392,11.223214285714288,0.006631990859895964,0.0005909172444776037
limited,20,0.3,3.0,0.8,1,1,8997,13.950518130591442,13.822580645161288,0.12793748543015404,0.00925568739401348
limited,20,0.3,3.0,0.8,1,2,9160,13.824336030400692,13.822580645161288,0.0017553852394041058,0.00012699403132211736
limited,20,0.3,3.0,0.8,1,3,9092,14.269005068841238,13.822580645161288,0.44642442367995017,0.032296749437756025
limited,20,0.4,3.0,0.8,1,1,12058,18.004034188394613,17.756756756756758,0.24727743163785476,0.013925821873060313
limited,20,0.4,3.0,0.8,1,2,12130,18.282108599218773,17.756756756756758,0.5253518424620154,0.029586024613538157
limited,20,0.4,3.0,0.8,1,3,12150,18.24984474352006,17.756756756756758,0.4930879867633031,0.027769034262164708
limited,20,0.5,3.0,0.8,1,1,15073,24.814824353097098,24.409090909090907,0.4057334440061915,0.0166222267563058
limited,20,0.5,3.0,0.8,1,2,15119,25.09254695610074,24.409090909090907,0.6834560470098339,0.028000061516231557
limited,20,0.5,3.0,0.8,1,3,15068,24.66038353094549,24.409090909090907,0.251292621854585,0.010295042236128251
limited,20,0.6,3.0,0.8,1,1,18018,38.85513017718312,38.08333333333332,0.7717968438497991,0.020266000276143527
limited,20,0.6,3.0,0.8,1,2,18107,40.09797729040394,38.08333333333332,2.014643957070618,0.052900935415421055
limited,20,0.6,3.0,0.8,1,3,18036,38.25781237476495,38.08333333333332,0.1744790414316313,0.004581506558379816
limited,20,0.7,3.0,0.8,1,1,21053,84.6670174612207,82.32352941176465,2.3434880494560417,0.02846680731743675
limited,20,0.7,3.0,0.8,1,2,21159,90.86270232824347,82.32352941176465,8.539172916478819,0.10372700220088604
limited,20,0.7,3.0,0.8,1,3,20939,80.92186250591827,82.32352941176465,1.4016669058463833,0.017026321828787803
